company_name,bidding_day,bidding_date,total_multiple,qib_multiple,nii_multiple,retail_multiple,source
PELATRO LTD.,4,"September 19, 2024",21.94,15.22,55.31,12.58,user_scraped
PENTAGON RUBBER LTD.,1,"Jun 26, 2023",4.2,4.74,0.84,5.34,user_scraped
PENTAGON RUBBER LTD.,2,"Jun 27, 2023",13.64,8.28,5.42,20.2,user_scraped
PENTAGON RUBBER LTD.,3,"Jun 28, 2023",25.69,8.65,12.21,41.15,user_scraped
PENTAGON RUBBER LTD.,4,"Jun 30, 2023",106.2,27.62,153.33,130.7,user_scraped
PHANTOM DIGITAL EFFECTS LTD.,1,"Oct 12, 2022",2.94,0.0,1.68,7.6,user_scraped
PHANTOM DIGITAL EFFECTS LTD.,2,"Oct 13, 2022",17.5,0.55,25.45,37.87,user_scraped
PHANTOM DIGITAL EFFECTS LTD.,3,"Oct 14, 2022",164.22,14.75,554.76,207.08,user_scraped
PICTUREPOST STUDIOS LTD.,1,"August 2, 2024",6.24,0.0,3.94,10.79,user_scraped
PICTUREPOST STUDIOS LTD.,2,"August 5, 2024",59.13,0.0,47.84,97.71,user_scraped
PICTUREPOST STUDIOS LTD.,3,"August 6, 2024",266.6,101.19,389.67,308.09,user_scraped
POWERFUL TECHNOLOGIES LTD.,1,,0.34,,,0.13,wayback_harvested
POWERFUL TECHNOLOGIES LTD.,2,,0.42,,,0.29,wayback_harvested
POWERFUL TECHNOLOGIES LTD.,3,,0.56,,,0.57,wayback_harvested
POWERFUL TECHNOLOGIES LTD.,4,,0.77,,,0.92,wayback_harvested
POWERFUL TECHNOLOGIES LTD.,5,,1.11,,,0.97,wayback_harvested
POWERFUL TECHNOLOGIES LTD.,6,,1.3,,,1.09,wayback_harvested
PRAMARA PROMOTIONS LTD.,1,,0.43,,,0.88,wayback_harvested
PRAMARA PROMOTIONS LTD.,2,,1.97,,,3.43,wayback_harvested
PRAMARA PROMOTIONS LTD.,3,,25.71,,,17.14,wayback_harvested
R N F I SERVICES LTD.,1,"July 22, 2024",5.94,0.0,4.08,10.14,user_scraped
