co_code,company_name,symbol,listing_date,listing_year,time,event,issue_price,listing_close,listing_gain_pct,firm_age,diff_issue_list_dates,traded_qty_l1,total_subs_times,qib_subs_times,nii_subs_times,eps,pe_ratio,debt_to_asset_ratio
685657,MONO PHARMACARE LTD.,MONOPHARMA,2023-07-09,2023,256,0,28,30.45,8.75,1,8,2024000,1.60,0.00,0.19,0.65,47.19,1.0000
685659,INTERIORS & MORE LTD.,INM,23-02-2024,2024,186,0,227,283.5,24.89,12,3,667200,0.21,0.00,0.08,6.40,44.27,1.0000
685790,C P S SHAPERS LTD.,CPS,2023-07-09,2023,292,0,185,472.5,155.41,11,7,388800,3.50,1.00,1.50,11.67,40.50,1.0000
685791,BASILIC FLY STUDIO LTD.,BASILIC,2023-11-09,2023,324,0,97,284.55,193.35,7,6,2415600,33.17,7.18,27.55,11.38,25.01,1.0000
686175,KUNDAN EDIFICE LTD.,KEL,26-09-2023,2023,1,1,91,78.75,-13.46,12,11,897600,2.50,1.00,1.00,4.96,15.89,1.0000
686213,MADHUSUDAN MASALA LTD.,MADHUSUDAN,26-09-2023,2023,313,0,70,114,62.86,2,5,1014000,27.78,0.80,18.27,4.13,27.59,1.0000
686214,KODY TECHNOLAB LTD.,KODYTECH,27-09-2023,2023,313,0,160,178.5,11.56,6,7,1024000,3.50,1.00,1.50,4.55,39.23,1.0000
686426,NEWJAISA TECHNOLOGIES LTD.,NEWJAISA,2023-05-10,2023,308,0,47,70.8,50.64,3,8,3726000,0.35,0.00,0.23,2.36,30.06,1.0000
686427,INSPIRE FILMS LTD.,INSPIRE,2023-05-10,2023,53,1,59,67.85,15.00,11,8,1620000,10.00,7.04,10.31,1.57,43.35,1.0000
686576,KONTOR SPACE LTD.,KONTOR,2023-10-10,2023,10,1,93,115.9,24.62,5,7,446400,3.50,1.00,1.50,3.93,29.48,1.0000
686603,CELLECOR GADGETS LTD.,CELLECOR,28-09-2023,2023,215,1,92,96.6,5.00,3,8,1768800,3.50,1.00,1.50,3.80,25.45,1.0000
686626,KARNIKA INDUSTRIES LTD.,KARNIKA,2023-12-10,2023,8,1,76,82.6,8.68,1,7,1665600,2.50,1.00,1.00,6.98,11.84,1.0000
686628,ONECLICK LOGISTICS INDIA LTD.,OLIL,2023-11-10,2023,7,1,99,133,34.34,1,8,356400,2.50,1.00,1.00,0.83,159.76,1.0000
