chittorgarh_id,company_name,listing_date,issue_price,listing_close_price,listing_gain_pct,firm_age,diff_issue_list_dates,log_traded_qty,total_subs_times,retail_subs_times,log_retail_subs,log_day1_subs,log_subs_accel,log_closing_surge,eps,pe_ratio_clipped,debt_to_asset_ratio,is_hot_period,current_gain_loss_pct,event,time,cox_hazard_score,rsf_risk_score,risk_quintile
2547,Encompass Design India Ltd.,12-Dec-2025,107.0,193.15,80.51,12.0,3,10.140573455973044,2.19,1.69,0.9895411936137477,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,123.22,0,202.0,1.9672768999426684,94.39583068991057,Q3
2712,Luxury Time Ltd.,11-Dec-2025,82.0,163.59,99.5,12.0,3,16.371155299899776,634.83,858.64,6.756513696957005,4.865963987154161,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-24.59,1,203.0,0.3007154723605749,23.31775672244424,Q1 (Predicted Safest)
2609,Helloji Holidays Ltd.,09-Dec-2025,118.0,123.9,5.0,12.0,5,12.742568940017076,30.16,22.8,3.169685580677429,1.4861396960896067,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,7.63,0,204.0,1.2956145169060693,121.59504950212829,Q4
2557,Neochem Bio Solutions Ltd.,09-Dec-2025,98.0,111.8,14.08,12.0,5,11.85864764578841,15.52,9.42,2.343727036325221,0.8808707866428946,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,10.2,0,204.0,1.6160157359869884,90.74733683574335,Q3
2443,Ravelcare Ltd.,08-Dec-2025,130.0,190.95,46.88,12.0,5,15.753813416245796,437.6,463.13,6.140164685399087,4.255179992095937,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-22.85,1,205.0,0.44631374703749466,25.114316065878583,Q1 (Predicted Safest)
2481,Speb Adhesives Ltd.,08-Dec-2025,56.0,57.0,1.79,12.0,5,10.17545936253226,2.34,1.75,1.0116009116784799,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,55.36,0,205.0,2.66686349047726,152.73785670680172,Q5 (Predicted Highest Risk)
2521,Invicta Diagnostic Ltd.,08-Dec-2025,85.0,96.7,13.76,12.0,5,10.851296331126829,4.27,3.44,1.4906543764441333,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-19.88,1,205.0,2.1393118250444214,104.50979279315054,Q3
2451,Purple Wave Infocom Ltd.,05-Dec-2025,126.0,130.5,3.57,12.0,3,10.950824090522445,6.88,3.8,1.5686159179138452,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,218.25,0,207.0,2.1676579538268395,137.39616787338434,Q5 (Predicted Highest Risk)
2708,Exato Technologies Ltd.,05-Dec-2025,140.0,279.3,99.5,12.0,3,16.590041205945145,947.21,1068.74,6.975170907274734,5.083334178714174,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,415.0,0,207.0,0.2815576949069064,23.31775672244424,Q1 (Predicted Safest)
2595,Mother Nutri Foods Ltd.,03-Dec-2025,117.0,124.3,6.24,12.0,5,12.041498664683656,15.92,11.31,2.510411940196362,0.9919546357951446,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,30.81,0,209.0,1.5817552261018692,121.52465351212254,Q4
2242,Gallard Steel Ltd.,26-Nov-2025,150.0,234.25,56.17,12.0,5,15.478242951076265,375.54,351.58,5.865277546857597,3.9841017772896965,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,5.33,0,214.0,0.46730747892946156,23.651600659008768,Q1 (Predicted Safest)
2459,Workmates Core2Cloud Solution Ltd.,18-Nov-2025,204.0,368.25,80.51,12.0,5,14.33108548590982,141.38,111.64,4.724196892409732,2.876160138413146,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,99.19,0,219.0,0.5986438464769435,40.78570184095851,Q1 (Predicted Safest)
2090,Mahamaya Lifesciences Ltd.,18-Nov-2025,114.0,116.0,1.75,12.0,5,9.635673464721814,1.63,1.02,0.7030975114131134,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,57.02,0,219.0,3.0275742153460143,153.87290630997632,Q5 (Predicted Highest Risk)
2401,Curis Lifesciences Ltd.,14-Nov-2025,128.0,141.0,10.16,12.0,3,13.406340093494261,74.39,44.28,3.8128654338949275,2.0336593490247084,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,56.29,0,222.0,1.0422457758588186,88.10187744615801,Q3
2104,Finbud Financial Services Ltd.,13-Nov-2025,142.0,164.85,16.09,12.0,3,10.645448706505872,4.43,2.8,1.33500106673234,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-13.87,1,223.0,2.2362495201121404,100.65991586163337,Q3
2105,Game Changers Texfab Ltd.,04-Nov-2025,102.0,109.35,7.21,12.0,5,9.781376414141157,1.17,1.18,0.7793248768009976,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,6.62,0,229.0,2.8662351063449885,125.9787840906228,Q4
2426,SK Minerals & Additives Ltd.,17-Oct-2025,127.0,152.25,19.88,12.0,3,10.836655066966722,3.52,3.39,1.4793292270870801,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,292.13,0,242.0,2.094851122272094,100.17956031729307,Q3
2195,NSB BPO Solutions Ltd.,10-Oct-2025,121.0,121.3,0.25,12.0,3,9.210440366976517,0.76,0.21,0.19062035960864973,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-51.57,1,247.0,3.5060068936312287,148.61398788465172,Q5 (Predicted Highest Risk)
2441,DSM Fresh Foods Ltd.,09-Oct-2025,100.0,126.0,26.0,12.0,3,9.575052927597383,1.36,0.96,0.6729444732424258,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-44.94,1,248.0,2.785739355515274,97.73015397987095,Q3
2324,Sheel Biotech Ltd.,08-Oct-2025,63.0,95.55,51.67,12.0,5,11.87340018062404,15.97,9.56,2.3570732782781154,0.8895359945653354,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-4.76,1,249.0,1.3863721244566032,68.93355641477544,Q2
2220,Valplast Technologies Ltd.,08-Oct-2025,54.0,58.63,8.57,12.0,5,9.994287576862567,1.19,1.46,0.9001613499442714,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-27.98,1,249.0,2.7122065734909704,119.74038221472092,Q4
2265,Zelio E-Mobility Ltd.,08-Oct-2025,136.0,162.6,19.56,12.0,5,9.893487720457795,1.5,1.32,0.8415671856782186,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,526.91,0,249.0,2.659124191457228,106.87674877396576,Q3
2460,Sunsky Logistics Ltd.,08-Oct-2025,46.0,53.55,16.41,12.0,5,9.53249633228804,1.46,0.92,0.6523251860396903,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-12.89,1,249.0,2.9229250599802272,113.31626144879093,Q4
2434,Munish Forge Ltd.,08-Oct-2025,96.0,110.25,14.84,12.0,5,10.594156665220533,3.53,2.66,1.297463147413275,0.6931471805599453,1.4350845252893227,1.7047480922384253,5.0,22.0,0.35,1,-3.49,1,249.0,2.278900036411045,106.223968995999,Q3
